institution, ror, repository, count 
"University of Otago",https://ror.org/01jmxt844,"Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)",11,
"University of Otago",https://ror.org/01jmxt844,"Singapore Management University Institutional Knowledge (InK) (Singapore Management University)",5,
"University of Otago",https://ror.org/01jmxt844,"RePEc: Research Papers in Economics",105,
"University of Otago",https://ror.org/01jmxt844,"BIBSYS Brage (BIBSYS (Norway))",2,
"University of Otago",https://ror.org/01jmxt844,"Data Archiving and Networked Services (DANS)",36,
"University of Otago",https://ror.org/01jmxt844,"LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)",22,
"University of Otago",https://ror.org/01jmxt844,"Spiral (Imperial College London)",15,
"University of Otago",https://ror.org/01jmxt844,"Helda (University of Helsinki)",15,
"University of Otago",https://ror.org/01jmxt844,"HAL (Le Centre pour la Communication Scientifique Directe)",97,
"University of Otago",https://ror.org/01jmxt844,"Columbia Academic Commons (Columbia University)",2,
"University of Otago",https://ror.org/01jmxt844,"St George's Online Research Archive (St George's University of London)",7,
"University of Otago",https://ror.org/01jmxt844,"Technical University of Denmark, DTU Orbit (Technical University of Denmark, DTU)",8,
"University of Otago",https://ror.org/01jmxt844,"Minerva Access (University of Melbourne)",73,
"University of Otago",https://ror.org/01jmxt844,"Research Commons (The University of Waikato)",28,
"University of Otago",https://ror.org/01jmxt844,"Research Online (Goldsmiths University of London)",1,
"University of Otago",https://ror.org/01jmxt844,"Lancaster EPrints (Lancaster University)",5,
"University of Otago",https://ror.org/01jmxt844,"Brunel University Research Archive (BURA) (Brunel University London)",6,
"University of Otago",https://ror.org/01jmxt844,"Nottingham Trent University's Institutional Repository (Nottingham Trent Repository)",7,
"University of Otago",https://ror.org/01jmxt844,"INDIGO (University of Illinois at Chicago)",67,
"University of Otago",https://ror.org/01jmxt844,"IUScholarWorks (Indiana University)",2,
"University of Otago",https://ror.org/01jmxt844,"eSpace (Curtin University)",24,
"University of Otago",https://ror.org/01jmxt844,"Tampere University Institutional Repository (Tampere University)",2,
"University of Otago",https://ror.org/01jmxt844,"Carolina Digital Repository (University of North Carolina at Chapel Hill)",7,
"University of Otago",https://ror.org/01jmxt844,"eCite Digital Repository (University of Tasmania)",5,
"University of Otago",https://ror.org/01jmxt844,"eScholarship University of California (University of California)",7,
"University of Otago",https://ror.org/01jmxt844,"EspaceINRS (National Institute for Scientific Research (Canada))",12,
"University of Otago",https://ror.org/01jmxt844,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",7,
"University of Otago",https://ror.org/01jmxt844,"Griffith Research Online (Griffith University, Queensland, Australia)",18,
"University of Otago",https://ror.org/01jmxt844,"Conicet",2,
"University of Otago",https://ror.org/01jmxt844,"Research Repository (Delft University of Technology)",3,
"University of Otago",https://ror.org/01jmxt844,"Research Repository UCD (University College Dublin)",3,
"University of Otago",https://ror.org/01jmxt844,"Strathprints: The University of Strathclyde institutional repository (University of Strathclyde)",7,
"University of Otago",https://ror.org/01jmxt844,"CONICET Digital (CONICET)",9,
"University of Otago",https://ror.org/01jmxt844,"Dipòsit Digital de la Universitat de Barcelona (Universitat de Barcelona)",6,
"University of Otago",https://ror.org/01jmxt844,"Lincoln University Research Archive (Lincoln University)",8,
"University of Otago",https://ror.org/01jmxt844,"UpSpace Institutional Repository (University of Pretoria)",6,
"University of Otago",https://ror.org/01jmxt844,"Repositori digital de la UPF (Universitat Pompeu Fabra)",5,
"University of Otago",https://ror.org/01jmxt844,"DiVA (Stockholm University)",1,
"University of Otago",https://ror.org/01jmxt844,"e-publications@bond (Bond University)",1,
"University of Otago",https://ror.org/01jmxt844,"City Research Online (City University London)",8,
"University of Otago",https://ror.org/01jmxt844,"Digital Access to Scholarship at Harvard (DASH) (Harvard University)",10,
"University of Otago",https://ror.org/01jmxt844,"Loughborough University Research Repository (Loughborough University)",7,
"University of Otago",https://ror.org/01jmxt844,"North American Electric Reliability Corporation Open Archive (North American Electric Reliability Corporation)",16,
"University of Otago",https://ror.org/01jmxt844,"Queen Mary Research Online (Queen Mary University of London)",3,
"University of Otago",https://ror.org/01jmxt844,"UniSA Research Outputs Repository (University of South Australia)",12,
"University of Otago",https://ror.org/01jmxt844,"Deep Blue (University of Michigan)",20,
"University of Otago",https://ror.org/01jmxt844,"W&M Publish (College of William & Mary)",1,
"University of Otago",https://ror.org/01jmxt844,"Flemish Marine Institute (Flanders Marine Institute)",1,
"University of Otago",https://ror.org/01jmxt844,"Academica-e (Universidad Pública de Navarra)",1,
"University of Otago",https://ror.org/01jmxt844,"University of Groningen research database (University of Groningen / Centre for Information Technology)",33,
"University of Otago",https://ror.org/01jmxt844,"Helmholtz Centre for Ocean Research Kiel (GEOMAR)",7,
"University of Otago",https://ror.org/01jmxt844,"CentAUR (University of Reading)",5,
"University of Otago",https://ror.org/01jmxt844,"Americanae (AECID Library)",3,
"University of Otago",https://ror.org/01jmxt844,"Oxford University Research Archive (ORA) (University of Oxford)",46,
"University of Otago",https://ror.org/01jmxt844,"White Rose Research Online (University of Leeds)",20,
"University of Otago",https://ror.org/01jmxt844,"Research Portal (Queen's University Belfast)",5,
"University of Otago",https://ror.org/01jmxt844,"NC Digital Online Collection of Knowledge and Scholarship (The University of North Carolina at Greensboro)",3,
"University of Otago",https://ror.org/01jmxt844,"Apollo (University of Cambridge)",13,
"University of Otago",https://ror.org/01jmxt844,"Ghent University Academic Bibliography (Ghent University)",6,
"University of Otago",https://ror.org/01jmxt844,"PsyArXiv (OSF Preprints)",6,
"University of Otago",https://ror.org/01jmxt844,"Repository for Publications and Research Data (ETH Zurich)",5,
"University of Otago",https://ror.org/01jmxt844,"ePrints Soton (University of Southampton)",15,
"University of Otago",https://ror.org/01jmxt844,"Research Publications (Maastricht University)",13,
"University of Otago",https://ror.org/01jmxt844,"Surrey Open Research repository (University of Surrey)",15,
"University of Otago",https://ror.org/01jmxt844,"University of Birmingham Research Portal (University of Birmingham)",19,
"University of Otago",https://ror.org/01jmxt844,"Knowledge UdeS (Institutional Deposit of the University of Sherbrooke)",1,
"University of Otago",https://ror.org/01jmxt844,"LSHTM Research Online
 (London School of Hygiene & Tropical Medicine)",3,
"University of Otago",https://ror.org/01jmxt844,"ORCA Online Research @Cardiff (Cardiff University)",11,
"University of Otago",https://ror.org/01jmxt844,"OAPEN (The OAPEN Foundation)",1,
"University of Otago",https://ror.org/01jmxt844,"Bournemouth University Research Online (Bournemouth University)",12,
"University of Otago",https://ror.org/01jmxt844,"Enlighten: Publications (The University of Glasgow)",20,
"University of Otago",https://ror.org/01jmxt844,"Dordt Digital Collections (Dordt College)",1,
"University of Otago",https://ror.org/01jmxt844,"Durham Research Online (Durham University)",22,
"University of Otago",https://ror.org/01jmxt844,"Zenodo (CERN European Organization for Nuclear Research)",95,
"University of Otago",https://ror.org/01jmxt844,"Bristol Research (University of Bristol)",7,
"University of Otago",https://ror.org/01jmxt844,"DR-NTU (Nanyang Technological University)",5,
"University of Otago",https://ror.org/01jmxt844,"Bond University Research Portal (Bond University)",6,
"University of Otago",https://ror.org/01jmxt844,"EarthArXiv (California Digital Library)",1,
"University of Otago",https://ror.org/01jmxt844,"OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)",11,
"University of Otago",https://ror.org/01jmxt844,"Lincoln (University of Nebraska)",1,
"University of Otago",https://ror.org/01jmxt844,"OPAL (Open@LaTrobe) (La Trobe University)",55,
"University of Otago",https://ror.org/01jmxt844,"Scopus (Elsevier)",26,
"University of Otago",https://ror.org/01jmxt844,"NOVA (University of Newcastle, Australia)",15,
"University of Otago",https://ror.org/01jmxt844,"UC Research Repository  (University of Canterbury)",36,
"University of Otago",https://ror.org/01jmxt844,"QUT ePrints (Queensland University of Technology)",36,
"University of Otago",https://ror.org/01jmxt844,"NERC Open Research Archive (Natural Environment Research Council)",22,
"University of Otago",https://ror.org/01jmxt844,"Tuwhera (Auckland University of Technology)",17,
"University of Otago",https://ror.org/01jmxt844,"UCL Discovery (University College London)",30,
"University of Otago",https://ror.org/01jmxt844,"RMIT Research Repository (RMIT University Library)",3,
"University of Otago",https://ror.org/01jmxt844,"University of Hertfordshire Research Archive (University of Hertfordshire)",3,
"University of Otago",https://ror.org/01jmxt844,"CLOK (University of Central Lancashire)",9,
"University of Otago",https://ror.org/01jmxt844,"Edith Cowan University Research Online (Edith Cowan University)",2,
"University of Otago",https://ror.org/01jmxt844,"Biblioteca Digital da Memória Científica do INPE (National Institute for Space Research)",1,
"University of Otago",https://ror.org/01jmxt844,"El Servicio de Difusión de la Creación Intelectual (National University of La Plata)",1,
"University of Otago",https://ror.org/01jmxt844,"University of Canterbury Research Repository (University of Canterbury)",30,
"University of Otago",https://ror.org/01jmxt844,"Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia)",6,
"University of Otago",https://ror.org/01jmxt844,"UST Research Online (University of St. Thomas - Minnesota)",1,
"University of Otago",https://ror.org/01jmxt844,"@nalyses (University of Ottawa)",1,
"University of Otago",https://ror.org/01jmxt844,"The World Bank Open Knowledge Repository (World Bank)",3,
"University of Otago",https://ror.org/01jmxt844,"IrInSubria (University of Insubria)",1,
"University of Otago",https://ror.org/01jmxt844,"The HKU Scholars Hub (University of Hong Kong)",10,
"University of Otago",https://ror.org/01jmxt844,"DIGITAL.CSIC (Spanish National Research Council (CSIC))",5,
"University of Otago",https://ror.org/01jmxt844,"Research Portal (King's College London)",5,
"University of Otago",https://ror.org/01jmxt844,"Open Acess LMU (Ludwig-Maximilians-Universität München)",1,
"University of Otago",https://ror.org/01jmxt844,"DSpace@MIT (Massachusetts Institute of Technology)",5,
"University of Otago",https://ror.org/01jmxt844,"IRIS Research product catalog (Sapienza University of Rome)",4,
"University of Otago",https://ror.org/01jmxt844,"Repository@Hull (Worktribe) (University of Hull)",7,
"University of Otago",https://ror.org/01jmxt844,"Newcastle University ePrints (Newcastle Univesity)",6,
"University of Otago",https://ror.org/01jmxt844,"Griffith Research Online (Griffith University)",20,
"University of Otago",https://ror.org/01jmxt844,"UWA Profiles and Research Repository (UWA)",5,
"University of Otago",https://ror.org/01jmxt844,"UKnowledge (University of Kentucky)",2,
"University of Otago",https://ror.org/01jmxt844,"Open Research Exeter (University of Exeter)",2,
"University of Otago",https://ror.org/01jmxt844,"Loughborough University Institutional Repository (Loughborough University)",2,
"University of Otago",https://ror.org/01jmxt844,"Khazar University Institutional Repository (Khazar University)",2,
"University of Otago",https://ror.org/01jmxt844,"Open Research Online (The Open University)",4,
"University of Otago",https://ror.org/01jmxt844,"Zurich Open Repository and Archive (University of Zurich)",17,
"University of Otago",https://ror.org/01jmxt844,"Discovery Research Portal (University of Dundee)",3,
"University of Otago",https://ror.org/01jmxt844,"Purdue University Indianapolis (Indiana University)",2,
"University of Otago",https://ror.org/01jmxt844,"OPUS - Open Publications of UTS Scholars (University of Technology Sydney)",9,
"University of Otago",https://ror.org/01jmxt844,"Otago University Research Archive (University of Otago)",4,
"University of Otago",https://ror.org/01jmxt844,"Edinburgh Research Explorer (University of Edinburgh)",32,
"University of Otago",https://ror.org/01jmxt844,"Aberdeen University Research Archive (Aberdeen University)",11,
"University of Otago",https://ror.org/01jmxt844,"Monash University Research Portal (Monash University)",9,
"University of Otago",https://ror.org/01jmxt844,"University of Brighton Repository (University of Brighton)",2,
"University of Otago",https://ror.org/01jmxt844,"Adelaide Research & Scholarship (AR&S) (University of Adelaide)",6,
"University of Otago",https://ror.org/01jmxt844,"Pure (Coventry University)",14,
"University of Otago",https://ror.org/01jmxt844,"BOA (University of Milano-Bicocca)",1,
"University of Otago",https://ror.org/01jmxt844,"Leeds Beckett Repository (Leeds Beckett University)",2,
"University of Otago",https://ror.org/01jmxt844,"UEA Digital Repository (University of East Anglia)",6,
"University of Otago",https://ror.org/01jmxt844,"Institutional Research Information System University of Ferrara (University of Ferrara)",2,
"University of Otago",https://ror.org/01jmxt844,"Pure (University of Bath)",15,
"University of Otago",https://ror.org/01jmxt844,"ResearchOnline (Glasgow Caledonian University)",4,
"University of Otago",https://ror.org/01jmxt844,"VU Research Portal (Elsevier)",5,
"University of Otago",https://ror.org/01jmxt844,"Archivio Istituzionale della Ricerca (Universita Degli Studi Di Milano)",4,
"University of Otago",https://ror.org/01jmxt844,"Open Access at Essex (University of Essex)",3,
"University of Otago",https://ror.org/01jmxt844,"Leiden Repository (Leiden University)",3,
"University of Otago",https://ror.org/01jmxt844,"BORIS (University Library Bern)",3,
"University of Otago",https://ror.org/01jmxt844,"Utah State Research and Scholarship (Utah State University)",2,
"University of Otago",https://ror.org/01jmxt844,"The Sydney eScholarship Repository (The University of Sydney)",7,
"University of Otago",https://ror.org/01jmxt844,"Western CEDAR (Western Washington University)",1,
"University of Otago",https://ror.org/01jmxt844,"UNICA IRIS Institutional Research Information System (University of Cagliari)",1,
"University of Otago",https://ror.org/01jmxt844,"Duo Research Archive (University of Oslo)",9,
"University of Otago",https://ror.org/01jmxt844,"University of Oulu Repository (University of Oulu)",7,
"University of Otago",https://ror.org/01jmxt844,"University of Southern Denmark Research Portal (University of Southern Denmark)",8,
"University of Otago",https://ror.org/01jmxt844,"VBN Forskningsportal (Aalborg Universitet)",3,
"University of Otago",https://ror.org/01jmxt844,"bioRxiv (Cold Spring Harbor Laboratory)",463,
"University of Otago",https://ror.org/01jmxt844,"Geodynamics and Tectonophysics (Institute of the Earth's Crust of the  Siberian Branch)",1,
"University of Otago",https://ror.org/01jmxt844,"Utrecht University Repository (Utrecht University)",1,
"University of Otago",https://ror.org/01jmxt844,"BioOne Complete (BioOne)",5,
"University of Otago",https://ror.org/01jmxt844,"Wiardi Beckman Foundation (Wiardi Beckman Foundation)",5,
"University of Otago",https://ror.org/01jmxt844,"Open Access Server of the Woods Hole Scientific Community (Woods Hole Scientific Community)",7,
"University of Otago",https://ror.org/01jmxt844,"OpenAIR@RGU (Robert Gordon University)",4,
"University of Otago",https://ror.org/01jmxt844,"Research at the University of Copenhagen (University of Copenhagen)",8,
"University of Otago",https://ror.org/01jmxt844,"Research Online (University of Wollongong)",26,
"University of Otago",https://ror.org/01jmxt844,"Arrow - TU Dublin (Technological University Dublin)",4,
"University of Otago",https://ror.org/01jmxt844,"tub.dok (Hamburg University of Technology)",1,
"University of Otago",https://ror.org/01jmxt844,"Murdoch Research Repository (Murdoch University)",5,
"University of Otago",https://ror.org/01jmxt844,"Aberystwyth Research portal (Aberystwyth University)",4,
"University of Otago",https://ror.org/01jmxt844,"Research Commons (University of Waikato)",14,
"University of Otago",https://ror.org/01jmxt844,"RECERCAT (Consorci de Serveis Universitaris de Catalunya)",1,
"University of Otago",https://ror.org/01jmxt844,"Dublin City University Open Access Institutional Repository (Dublin City University)",5,
"University of Otago",https://ror.org/01jmxt844,"Integrated Information System (Vlaams Instituut Voor De Zee)",1,
"University of Otago",https://ror.org/01jmxt844,"PaleoRxiv (OSF Preprints)",2,
"University of Otago",https://ror.org/01jmxt844,"Papyrus : Institutional Repository (Université de Montréal)",2,
"University of Otago",https://ror.org/01jmxt844,"TSpace (University of Toronto)",4,
"University of Otago",https://ror.org/01jmxt844,"Research portal (Tilburg University)",2,
"University of Otago",https://ror.org/01jmxt844,"LSHTM Research Online (London School of Hygiene and Tropical Medicine)",5,
"University of Otago",https://ror.org/01jmxt844,"Greenwich Academic Literature Archive (University of Greenwich)",2,
"University of Otago",https://ror.org/01jmxt844,"CINECA IRIS Institutional Research Information System (University of Bari Aldo Moro)",3,
"University of Otago",https://ror.org/01jmxt844,"Aston Publications Explorer (Aston University)",13,
"University of Otago",https://ror.org/01jmxt844,"Edge Hill University Research Information Repository (Edge Hill University)",1,
"University of Otago",https://ror.org/01jmxt844,"Bradford Scholars (University of Bradford)",5,
"University of Otago",https://ror.org/01jmxt844,"Open Access Victoria University of Wellington | Te Herenga Waka (Figshare)",9,
"University of Otago",https://ror.org/01jmxt844,"CINECA IRIS Institutial research information system (University of Pisa)",1,
"University of Otago",https://ror.org/01jmxt844,"CINECA IRIS Institutional Research Information System (Sant'Anna School of Advanced Studies)",1,
"University of Otago",https://ror.org/01jmxt844,"Radboud Repository (Radboud University)",5,
"University of Otago",https://ror.org/01jmxt844,"Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles)",12,
"University of Otago",https://ror.org/01jmxt844,"Archive ouverte UNIGE (University of Geneva)",2,
"University of Otago",https://ror.org/01jmxt844,"medRxiv (Cold Spring Harbor Laboratory)",139,
"University of Otago",https://ror.org/01jmxt844,"publish.UP (University of Potsdam)",1,
"University of Otago",https://ror.org/01jmxt844,"Maynooth University ePrints and eTheses Archive (Maynooth University)",3,
"University of Otago",https://ror.org/01jmxt844,"Abertay Research Portal (Abertay University)",2,
"University of Otago",https://ror.org/01jmxt844,"SUNScholar (Stellenbosch University)",2,
"University of Otago",https://ror.org/01jmxt844,"PhilPapers (PhilPapers Foundation)",28,
"University of Otago",https://ror.org/01jmxt844,"Project Euclid (Cornell University)",2,
"University of Otago",https://ror.org/01jmxt844,"DigitalCommons - CalPoly (California State Polytechnic University)",3,
"University of Otago",https://ror.org/01jmxt844,"Warwick Research Archive Portal (University of Warwick)",4,
"University of Otago",https://ror.org/01jmxt844,"MPG.PuRe (Max Planck Society)",6,
"University of Otago",https://ror.org/01jmxt844,"Chalmers Research (Chalmers University of Technology)",1,
"University of Otago",https://ror.org/01jmxt844,"Repository of the Academy's Library (Library of the Hungarian Academy of Sciences)",4,
"University of Otago",https://ror.org/01jmxt844,"CINECA IRIS Institutional Research Information System (Fondazione Edmund Mach)",1,
"University of Otago",https://ror.org/01jmxt844,"DigitalCommons - WayneState (Wayne State University)",1,
"University of Otago",https://ror.org/01jmxt844,"Munich Personal RePEc Archive (Ludwig Maximilian University of Munich)",7,
"University of Otago",https://ror.org/01jmxt844,"The Australian Nuclear Science and Technology Organisation Institutional Repository (The Australian Nuclear Science and Technology Organisation)",1,
"University of Otago",https://ror.org/01jmxt844,"DORA Eawag (Swiss Federal Institute of Aquatic Science and Technology (Eawag))",1,
"University of Otago",https://ror.org/01jmxt844,"RODIN (Universidad de Cádiz)",1,
"University of Otago",https://ror.org/01jmxt844,"Bern Open Repository and Information System (University of Bern)",3,
"University of Otago",https://ror.org/01jmxt844,"Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna)",3,
"University of Otago",https://ror.org/01jmxt844,"edoc (University of Basel)",3,
"University of Otago",https://ror.org/01jmxt844,"Multilingual Matters (Channel View Publications)",1,
"University of Otago",https://ror.org/01jmxt844,"CERES (Cranfield University)",4,
"University of Otago",https://ror.org/01jmxt844,"LillOA (Université de Lille (University Of Lille))",1,
"University of Otago",https://ror.org/01jmxt844,"SHURA (Sheffield Hallam University Research Archive) (Sheffield Hallam University)",8,
"University of Otago",https://ror.org/01jmxt844,"MDPI (MDPI AG)",3,
"University of Otago",https://ror.org/01jmxt844,"Research Explorer (The University of Manchester)",16,
"University of Otago",https://ror.org/01jmxt844,"ResearchOnline - ND (The University of Notre Dame Australia)",1,
"University of Otago",https://ror.org/01jmxt844,"Opin vísindi (Opin vísindi)",4,
"University of Otago",https://ror.org/01jmxt844,"e-space (Manchester Metropolitan University)",1,
"University of Otago",https://ror.org/01jmxt844,"Massey Research Online (Massey University)",7,
"University of Otago",https://ror.org/01jmxt844,"ResearchOnline at James Cook University (James Cook University)",7,
"University of Otago",https://ror.org/01jmxt844,"Biodiversity Heritage Library (Smithsonian Institution)",6,
"University of Otago",https://ror.org/01jmxt844,"Virginia Tech Works (Virginia Tech)",1,
"University of Otago",https://ror.org/01jmxt844,"Zaguan (Universidad de Zaragoza)",2,
"University of Otago",https://ror.org/01jmxt844,"Research Square (Research Square)",212,
"University of Otago",https://ror.org/01jmxt844,"KNAW research portal (Royal Academy of Art and Sciences (KNAW))",1,
"University of Otago",https://ror.org/01jmxt844,"ResearchOnline - JCU (James Cook University)",2,
"University of Otago",https://ror.org/01jmxt844,"univOAK (4 institutions : Université de Strasbourg, Université de Haute Alsace, INSA Strasbourg, Bibliothèque Nationale et Universitaire de Strasbourg)",1,
"University of Otago",https://ror.org/01jmxt844,"KOPS (University of Konstanz)",1,
"University of Otago",https://ror.org/01jmxt844,"Northumbria Research Link (Northumbria University)",9,
"University of Otago",https://ror.org/01jmxt844,"DukeSpace (Duke University)",2,
"University of Otago",https://ror.org/01jmxt844,"El Repositorio Institucional de la Universidad EAFIT (Universidad EAFIT)",1,
"University of Otago",https://ror.org/01jmxt844,"Staffordshire Online Repository (Staffordshire University)",3,
"University of Otago",https://ror.org/01jmxt844,"Econstor (Econstor)",13,
"University of Otago",https://ror.org/01jmxt844,"Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)",1,
"University of Otago",https://ror.org/01jmxt844,"SERVAL (Université de Lausanne)",2,
"University of Otago",https://ror.org/01jmxt844,"KTH Publication Database DiVA (KTH Royal Institute of Technology)",4,
"University of Otago",https://ror.org/01jmxt844,"HZI Open Repository (Helmholtz-Zentrum für Infektionsforschung GmbH)",1,
"University of Otago",https://ror.org/01jmxt844,"PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)",1,
"University of Otago",https://ror.org/01jmxt844,"UPCommons (Polytechnic University of Catalonia)",2,
"University of Otago",https://ror.org/01jmxt844,"Keele Research Repository (Keele University)",4,
"University of Otago",https://ror.org/01jmxt844,"Sussex Research Online (University of Sussex)",6,
"University of Otago",https://ror.org/01jmxt844,"Repository@Nottingham (University of Nottingham)",7,
"University of Otago",https://ror.org/01jmxt844,"ORBi (University of Liège)",3,
"University of Otago",https://ror.org/01jmxt844,"Radar (Oxford Brookes University)",2,
"University of Otago",https://ror.org/01jmxt844,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",9,
"University of Otago",https://ror.org/01jmxt844,"Deakin Research Online (Deakin University)",3,
"University of Otago",https://ror.org/01jmxt844,"Open Research (Auckland University of Technology)",7,
"University of Otago",https://ror.org/01jmxt844,"Kyoto University Research Information Repository (Kyoto University)",2,
"University of Otago",https://ror.org/01jmxt844,"OAR@UM (University of Malta)",2,
"University of Otago",https://ror.org/01jmxt844,"NTUR (臺灣機構典藏)",4,
"University of Otago",https://ror.org/01jmxt844,"AgEcon Search (University of Minnesota, USA)",7,
"University of Otago",https://ror.org/01jmxt844,"Digital Library Of The Commons Repository (Indiana University)",1,
"University of Otago",https://ror.org/01jmxt844,"St Andrews Research Repository (St Andrews Research Repository)",5,
"University of Otago",https://ror.org/01jmxt844,"ARAN (University of Galway Research Repository) (Ollscoil na Gaillimhe – University of Galway)",4,
"University of Otago",https://ror.org/01jmxt844,"Iris Unimore (University of Modena and Reggio Emilia)",1,
"University of Otago",https://ror.org/01jmxt844,"University of Debrecen Electronic Archive (University of Debrecen)",1,
"University of Otago",https://ror.org/01jmxt844,"PEARL (University of Plymouth)",8,
"University of Otago",https://ror.org/01jmxt844,"reroDoc Digital Library",5,
"University of Otago",https://ror.org/01jmxt844,"St Mary's University Repository (ULCC)",1,
"University of Otago",https://ror.org/01jmxt844,"Institutional Research Information System University of Turin (University of Turin)",2,
"University of Otago",https://ror.org/01jmxt844,"PolyU Institutional Research Archive (Hong Kong Polytechnic University)",4,
"University of Otago",https://ror.org/01jmxt844,"Counseling And Psychological Services Dissertations (Georgia State University)",1,
"University of Otago",https://ror.org/01jmxt844,"Communities in ADDI (Universidad del Pais Vasco)",2,
"University of Otago",https://ror.org/01jmxt844,"PDXScholar  (Portland State University)",8,
"University of Otago",https://ror.org/01jmxt844,"RVC Research Online (Royal Veterinary College)",2,
"University of Otago",https://ror.org/01jmxt844,"Digital Commons - USU (Utah State University)",1,
"University of Otago",https://ror.org/01jmxt844,"Repository KITopen (Karlsruhe Institute of Technology)",2,
"University of Otago",https://ror.org/01jmxt844,"RUCforsk (Roskilde University)",1,
"University of Otago",https://ror.org/01jmxt844,"eYLS (Yale Law School)",2,
"University of Otago",https://ror.org/01jmxt844,"Refubium (Universitätsbibliothek der Freien Universität Berlin)",1,
"University of Otago",https://ror.org/01jmxt844,"WBI Studies Repository",1,
"University of Otago",https://ror.org/01jmxt844,"Digital Commons - Becker  (Washington University in St. Louis)",1,
"University of Otago",https://ror.org/01jmxt844,"ResearchArchive–Te Puna Rangahau (Victoria University of Wellington)",8,
"University of Otago",https://ror.org/01jmxt844,"King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology)",1,
"University of Otago",https://ror.org/01jmxt844,"Anglia Ruskin Research Online (Anglia Ruskin University)",2,
"University of Otago",https://ror.org/01jmxt844,"BiblioBoard Library Catalog (Open Research Library)",2,
"University of Otago",https://ror.org/01jmxt844,"DMU Open Research Archive (De Montfort University)",4,
"University of Otago",https://ror.org/01jmxt844,"Digitala vetenskapliga arkivet (Diva) (Karlstad University)",1,
"University of Otago",https://ror.org/01jmxt844,"Osuva (University of Vaasa)",1,
"University of Otago",https://ror.org/01jmxt844,"Cork Open Research Archive (University College Cork, Ireland)",1,
"University of Otago",https://ror.org/01jmxt844,"Liverpool John Moores University",4,
"University of Otago",https://ror.org/01jmxt844,"Research Online (Edith Cowan University)",3,
"University of Otago",https://ror.org/01jmxt844,"Huddersfield Research Portal (University of Huddersfield)",1,
"University of Otago",https://ror.org/01jmxt844,"Open Repository and Bibliography (University of Luxembourg)",1,
"University of Otago",https://ror.org/01jmxt844,"eCommons - AKU (Aga Khan University)",1,
"University of Otago",https://ror.org/01jmxt844,"Research Repository (University of Gloucestershire)",2,
"University of Otago",https://ror.org/01jmxt844,"Munin Open Research Archive (The Arctic University of Norway)",3,
"University of Otago",https://ror.org/01jmxt844,"ARCA (Università Ca' Foscari Venezia)",1,
"University of Otago",https://ror.org/01jmxt844,"Qucosa (Saxon State and University Library Dresden)",1,
"University of Otago",https://ror.org/01jmxt844,"Jyväskylä University Digital Archive (University of Jyväskylä)",1,
"University of Otago",https://ror.org/01jmxt844,"Kent Academic Repository (University of Kent)",6,
"University of Otago",https://ror.org/01jmxt844,"Open Access Repository (University of Tasmania)",2,
"University of Otago",https://ror.org/01jmxt844,"Authorea (Authorea)",63,
"University of Otago",https://ror.org/01jmxt844,"University of Huddersfield Repository (University of Huddersfield)",1,
"University of Otago",https://ror.org/01jmxt844,"University of Bedfordshire Repository (University of Bedfordshire)",1,
"University of Otago",https://ror.org/01jmxt844,"YorkSpace (York University)",2,
"University of Otago",https://ror.org/01jmxt844,"DORA WSL (Swiss Federal Institute for Forest, Snow and Landscape Research)",1,
"University of Otago",https://ror.org/01jmxt844,"FedUni ResearchOnline (Federation University Australia)",1,
"University of Otago",https://ror.org/01jmxt844,"Geo-Leo e-docs (Deutsche Initiative für Netzwerkinformation)",2,
"University of Otago",https://ror.org/01jmxt844,"Arrow@dit (Dublin Institute of Technology)",1,
"University of Otago",https://ror.org/01jmxt844,"e-Publications@Marquette (Marquette University)",1,
"University of Otago",https://ror.org/01jmxt844,"Research Padua  Archive (University of Padua)",1,
"University of Otago",https://ror.org/01jmxt844,"Purdue e-Pubs (Purdue University System)",1,
"University of Otago",https://ror.org/01jmxt844,"OPUS (Augsburg University)",1,
"University of Otago",https://ror.org/01jmxt844,"Nottingham ePrints (University of Nottingham)",5,
"University of Otago",https://ror.org/01jmxt844,"Informationszentrum Lebenswissenschaften (ZB MED)",1,
"University of Otago",https://ror.org/01jmxt844,"Scholars' Bank (University of Oregon)",1,
"University of Otago",https://ror.org/01jmxt844,"UNM’s Digital Repository (University of New Mexico)",1,
"University of Otago",https://ror.org/01jmxt844,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)",13,
"University of Otago",https://ror.org/01jmxt844,"University of Southern Queensland ePrints (University of Southern Queensland)",2,
"University of Otago",https://ror.org/01jmxt844,"Open Research Online - ORO (The Open University)",2,
