institution, ror, repository, count 
"University of Auckland",https://ror.org/03b94tp07,"Radboud Repository (Radboud University)",15,
"University of Auckland",https://ror.org/03b94tp07,"UWE Research Repository (UWE Bristol)",6,
"University of Auckland",https://ror.org/03b94tp07,"Florence Research (University of Florence)",4,
"University of Auckland",https://ror.org/03b94tp07,"Queen Mary Research Online (Queen Mary University of London)",8,
"University of Auckland",https://ror.org/03b94tp07,"Open Research Exeter (University of Exeter)",15,
"University of Auckland",https://ror.org/03b94tp07,"Open Access at Essex (University of Essex)",3,
"University of Auckland",https://ror.org/03b94tp07,"DORA Eawag (Swiss Federal Institute of Aquatic Science and Technology (Eawag))",1,
"University of Auckland",https://ror.org/03b94tp07,"Repository@Nottingham (University of Nottingham)",17,
"University of Auckland",https://ror.org/03b94tp07,"RMIT Research Repository (RMIT University Library)",4,
"University of Auckland",https://ror.org/03b94tp07,"SERVAL (Université de Lausanne)",6,
"University of Auckland",https://ror.org/03b94tp07,"cIRcle (University of British Columbia)",1,
"University of Auckland",https://ror.org/03b94tp07,"Padua Research Archive (University of Padua)",2,
"University of Auckland",https://ror.org/03b94tp07,"UdL Open Repository (University of Lleida)",1,
"University of Auckland",https://ror.org/03b94tp07,"Refubium (Universitätsbibliothek der Freien Universität Berlin)",4,
"University of Auckland",https://ror.org/03b94tp07,"Research Commons (The University of Waikato)",44,
"University of Auckland",https://ror.org/03b94tp07,"Duo Research Archive (University of Oslo)",17,
"University of Auckland",https://ror.org/03b94tp07,"Lancaster EPrints (Lancaster University)",27,
"University of Auckland",https://ror.org/03b94tp07,"Authorea (Authorea)",57,
"University of Auckland",https://ror.org/03b94tp07,"QUT ePrints (Queensland University of Technology)",44,
"University of Auckland",https://ror.org/03b94tp07,"Helda (University of Helsinki)",12,
"University of Auckland",https://ror.org/03b94tp07,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",35,
"University of Auckland",https://ror.org/03b94tp07,"Tuwhera (Auckland University of Technology)",71,
"University of Auckland",https://ror.org/03b94tp07,"LSU Digital Commons (Louisiana State University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Biblos-e Archivo (Universidad Autónoma de Madrid)",2,
"University of Auckland",https://ror.org/03b94tp07,"Research Online (University of Wollongong)",26,
"University of Auckland",https://ror.org/03b94tp07,"OPAL (Open@LaTrobe) (La Trobe University)",69,
